symbol,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
PSMB5,5.3170967,5.6206007,4.9846582,5.6161804,5.4000955,4.4924088,3.3230402,5.246734,4.8128057,3.7494204
PTEN,10.672669,10.939687,10.711995,11.186875,10.800849,9.407352,9.32129,9.537207,9.486826,9.464023
PTTG1,4.391217,6.3028584,3.1056921,5.808627,2.8023996,6.7360983,5.3515863,6.1120553,6.786561,6.6255174
RBPJ,6.4819956,6.1513734,6.2487955,5.7245874,5.829427,9.0392475,8.916689,8.874734,9.07885,9.09563
RRM2,5.003575,4.998323,5.376833,5.210399,5.148576,6.0152135,5.7279468,5.4983273,7.0943394,7.022185
SAT2,4.6020856,5.288589,4.947523,4.509682,4.215482,7.4163294,7.0741286,7.351327,7.54893,7.5667386
SERPINE1,7.3052306,7.621518,7.282497,7.339018,7.186246,8.794717,8.538551,8.653446,7.681393,8.421414
SIAH1,4.796813,5.323643,5.9852586,5.1606026,5.779793,9.184175,9.080643,8.721822,9.001527,8.823822
SIX6,4.8188963,6.068237,5.454833,4.499485,5.686899,4.3111553,4.024241,3.2450435,5.0137625,4.857544
SKP2,2.4273095,4.1524496,2.949711,2.9460204,2.6791575,6.7331123,6.0466523,6.4850874,6.8643007,6.9495296
SLC52A1,5.698696,6.12542,6.3042774,6.117531,6.364963,8.138277,7.773382,7.979391,8.204973,8.040241
SMAD1,10.973124,11.024218,10.774876,10.949234,11.615238,9.07452,9.01163,9.185099,9.198763,8.907355
SMARCA4,16.173557,15.921735,15.840562,16.364101,15.89406,13.0981,12.84542,13.188037,13.54289,13.297961
SNAI1,5.193867,4.249503,4.0884237,4.8800306,3.6817086,7.7488103,6.8273296,7.6406016,8.403197,8.413954
SOX5,5.469086,5.8237495,5.420087,4.974856,5.4375505,6.595518,6.0353155,6.53632,7.091879,7.0549526
SP1,13.039487,12.891484,13.158573,12.713286,13.297961,11.437199,11.587448,11.351558,11.126794,11.125368
SPARC,10.439313,10.316245,10.461393,10.43286,10.109987,12.361254,12.543446,12.699357,12.469307,12.338955
SPHK1,10.210092,11.125368,11.109133,11.188909,11.431681,9.764529,10.239746,9.875408,9.257021,9.424885
SPI1,4.680792,6.183205,6.1428394,6.6821995,5.667385,6.9650097,6.8931255,6.920469,7.7848177,7.7311845
STK4,2.7196,2.9313414,3.660022,3.368305,2.8982244,5.0744643,4.2230725,4.962868,5.604258,5.281014
TGFB2,12.800377,11.931674,12.158853,11.802524,12.952815,13.5192375,13.417894,13.372192,13.560534,13.274302
TGFBI,10.410095,9.279741,10.800849,9.5467,9.547107,11.207281,11.320477,11.231441,11.352522,11.217267
TGFBR2,5.60462,6.1042185,5.3367534,5.2523212,6.348463,8.033295,6.422462,7.585432,9.57024,9.240255
TRA2B,6.7026696,6.8969984,6.692267,6.9050684,6.2850575,7.8242564,7.710455,7.483636,7.790874,7.8888874
XAF1,5.78067,5.4849014,5.4097714,5.517796,6.427372,4.5069695,4.4883094,4.836025,2.6548514,4.3368607
YBX1,8.983691,9.273938,8.871564,9.142741,8.601695,11.109133,11.16081,11.20115,11.081944,11.057012
ZFP36,6.0004535,6.193919,5.966247,6.6856017,5.6526856,9.268717,9.251033,9.297768,9.401083,9.30993
ZFX,7.3773437,7.6211376,7.5382223,6.4096975,7.3558726,10.08256,9.961608,9.772944,10.113021,10.125964
