,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
AC106820.2,5.5903196,5.211738,5.2936125,4.522938,3.016593,4.6571097,3.8849108,4.5430737,4.3365455,5.097735
AC106865.1,4.4210496,4.9262233,4.23815,4.3615584,4.8192124,6.667572,5.365785,6.420273,6.5757914,6.618076
AC106870.2,5.2523212,5.274892,4.765947,5.5670066,5.195997,5.430209,3.955585,5.7813897,5.6324997,5.487832
AC106871.1,5.8432794,5.927683,5.82843,6.0137367,6.4084973,5.2275863,4.6149635,5.0033293,5.7308207,4.9634457
AC106872.12,4.974111,4.2499404,5.363189,4.9289045,4.138082,5.0721946,4.538543,5.196741,3.790621,4.876752
AC106874.1,7.4426837,7.689783,7.6124263,7.670171,7.7895103,6.887171,6.7259717,6.962695,6.5985236,6.3772616
AC106894.1,7.556881,7.802786,7.5940547,7.186565,7.579117,9.020811,8.939965,9.101128,9.09203,8.9585495
AC107015.1,6.411313,6.4939547,6.8809056,6.865401,6.298383,6.2194,5.3291845,5.920141,6.1061482,5.575855
AC107029.1,6.3149533,6.5572124,6.757569,6.424074,6.317422,6.8180532,6.7688537,6.8790317,7.044926,6.964323
AC107204.1,3.9759018,3.9217079,5.4338036,5.0808053,5.4661775,4.597115,5.824367,5.432506,4.9615574,5.100687
AC107302.2,5.0142174,5.8431883,5.858416,5.706687,6.1271024,5.320341,4.454838,5.2628508,5.3427343,4.70646
AC107375.1,7.176844,7.0250936,6.4662247,6.5976963,7.108764,6.243499,6.009483,6.14854,6.593408,6.7366056
AC107398.2,5.8414197,6.405909,6.489048,6.0697656,6.3013678,5.689222,5.668803,5.9117017,5.7906322,5.6542673
AC107401.1,5.213271,5.934536,5.7880225,6.330344,5.6917,5.379807,4.1780834,5.0400944,4.8435445,4.415066
AC107871.1,5.9946313,6.729184,6.889111,6.9782825,6.634884,6.5754642,6.374604,6.496294,6.443475,5.681677
AC107892.1,9.522896,9.772944,9.73259,9.976505,9.898348,9.593253,9.200129,9.39271,10.095154,10.051525
AC108010.1,6.5391736,6.121771,6.207547,6.2140822,5.9761624,6.475205,6.0430913,6.6638155,6.278911,6.1397777
AC108022.1,10.36663,10.003442,10.228547,9.850645,9.728375,11.403218,11.405265,11.058398,11.0905485,11.062391
AC108039.1,5.7877197,6.349907,6.21177,5.5921445,5.922522,5.768903,5.3331065,5.5033374,5.877431,5.393341
AC108057.1,6.006338,6.371221,6.3291893,5.878409,5.550076,5.6086726,5.332195,5.799835,5.5852733,5.424306
AC108059.1,5.440262,4.481526,4.526022,4.0377903,3.6791065,5.260187,3.9565513,5.1019487,5.263832,4.6968746
AC108059.3,6.985696,7.5059924,7.54893,7.092115,6.5178547,8.3347225,7.819123,8.232416,8.180788,8.2330475
AC108073.1,7.223226,7.269477,6.3006244,7.089374,6.3570504,7.11949,5.5185547,6.3298855,6.166834,6.7012944
AC108114.1,5.639096,6.199529,6.2991614,6.2167134,6.0342073,7.8026457,7.5938435,7.233899,7.609351,7.757146
AC108452.1,9.797776,9.788695,9.394924,9.394924,9.306524,8.884518,8.602697,9.003504,9.328154,9.09203
AC108471.2,8.419818,10.019184,7.7743335,8.369625,8.850653,7.735267,7.3348265,7.554302,7.484245,7.3198323
AC108472.1,6.988126,7.2639875,7.1712437,7.5538177,7.447913,6.6780877,6.8979425,7.2180753,6.8582726,6.5031424
AC108477.2,4.1349783,2.9313414,5.2431087,4.3971167,4.491379,4.661182,4.6232414,4.973651,5.0800385,3.3239722
AC108479.1,6.0319214,6.3576555,7.336157,6.4598365,5.8533897,7.2285557,6.9821706,7.434358,7.4119506,7.166572
AC108488.3,8.48157,8.645161,8.455183,8.222456,8.621448,9.0280285,8.605102,8.982218,9.129138,9.225448
AC108519.1,8.428494,8.602697,8.618744,8.588443,8.200056,8.489909,8.492888,8.479234,8.462042,8.389862
AC108667.1,3.1182926,4.7381864,5.2473283,5.0046825,4.52274,6.0984745,5.930155,6.3221817,6.6174617,6.511601
AC108673.1,6.133288,6.232912,6.7040772,5.755348,6.227657,6.097165,6.626789,6.4528117,6.5183306,6.338555
AC108681.1,5.679201,5.4270425,5.976283,5.693021,5.2840056,5.545104,5.113525,6.033647,5.584876,5.237797
AC108718.1,7.5960007,7.560889,7.94381,6.931509,7.432505,7.150811,6.591406,6.9318953,7.28543,6.994589
AC108734.4,5.591869,6.465725,6.517316,6.8682137,5.8558183,6.72809,6.1443334,6.8592887,6.701107,6.4620366
AC108749.1,5.6276093,6.3068476,6.159514,6.393309,6.083935,6.266192,6.1088862,6.777208,7.0136776,6.6780877
AC108751.2,5.2071915,5.3481617,5.116928,5.4621873,4.491121,6.001278,5.3333015,5.6479626,6.2508726,6.2601237
